Samples	N0	N1	N2	N3	N4	N5	N6	N7	N8
PD44887_10_branch_snp	0.044367747368421	0.333575157894737	0.158650610526316	0.435958905263158	0.00952008421052631	0.0136201263157895	0.00406063157894737	1.67578947368421e-05	0.000229978947368421
PD44887_11_branch_snp	0.00573692631578947	0.411384084210526	0.178108547368421	0.374979789473684	0.00841903157894737	0.000800589473684211	0.0199230315789474	1.10315789473684e-05	0.000636968421052632
PD44887_12_branch_snp	0.0205322105263158	0.309616505263158	0.1545584	0.487837136842105	0.00783882105263158	0.00616463157894737	0.0133129263157895	1.76842105263158e-05	0.000121684210526316
PD44887_13_branch_snp	0.0160042105263158	0.379339957894737	0.135572631578947	0.452644042105263	0.00284202105263158	0.00185583157894737	0.0115996631578947	7.41052631578947e-06	0.000134231578947368
PD44887_14_branch_snp	0.0133156210526316	0.333760168421053	0.182173642105263	0.459595284210526	0.00285692631578947	0.00191604210526316	0.00629103157894737	3.62105263157895e-06	8.76631578947368e-05
PD44887_15_branch_snp	0.0139085473684211	0.264354021052632	0.199300378947368	0.504357978947368	0.00410644210526316	0.00158736842105263	0.0122725052631579	5.05263157894737e-06	0.000107705263157895
PD44887_16_branch_snp	0.0125425684210526	0.413837978947368	0.161030736842105	0.389914189473684	0.0134467368421053	0.00304429473684211	0.00589145263157895	4e-05	0.000252042105263158
PD44887_17_branch_snp	0.011461703038083	0.393982884039367	0.106272143774069	0.455111681643132	0.0184527171587505	0.00180744544287548	0.0126350021394951	0.000113821138211382	0.00016260162601626
PD44887_18_branch_snp	0.0116782296650718	0.387281100478469	0.118239234449761	0.459904306220096	0.00889952153110048	0.000746411483253589	0.0130167464114833	1.55502392344498e-05	0.0002188995215311
PD44887_19_branch_snp	0.00618069764575373	0.336319980278565	0.258053494391717	0.361824725748798	0.0218922716627635	0.00240749414519906	0.0131818069764575	1.6270183655861e-05	0.000123258967089856
PD44887_1_branch_snp	0.0405139368421053	0.303692547368421	0.177782905263158	0.438602610526316	0.00441658947368421	0.01596	0.0188882526315789	1.22947368421053e-05	0.000130863157894737
PD44887_20_branch_snp	0.00827511578947368	0.583909978947368	0.121726063157895	0.207541557894737	0.0651355789473684	0.000498610526315789	0.00569608421052632	1.47368421052632e-05	0.00720227368421053
PD44887_21_branch_snp	0.0227281129653402	0.611445870774497	0.126508258451006	0.165165425759521	0.0660404792468977	0.00129893025246042	0.00249644843816859	1.58322635857938e-05	0.00430064184852375
PD44887_22_branch_snp	0.00918753684210526	0.582150905263158	0.198408505263158	0.154403536842105	0.0328595368421053	0.000522357894736842	0.00873482105263158	1.28842105263158e-05	0.0137199157894737
PD44887_23_branch_snp	0.0169568	0.281375578947368	0.172832421052632	0.507609936842105	0.00368597894736842	0.00372909473684211	0.0136025263157895	2.39157894736842e-05	0.000183747368421053
PD44887_24_branch_snp	0.0123342315789474	0.278698021052632	0.175990736842105	0.5236768	0.0016016	0.00309776842105263	0.00453397894736842	3.03157894736842e-06	6.38315789473684e-05
PD44887_25_branch_snp	0.0419946105263158	0.317953094736842	0.154113347368421	0.459551326315789	0.002792	0.00551856842105263	0.0178130526315789	1.11157894736842e-05	0.000252884210526316
PD44887_26_branch_snp	0.0157166315789474	0.337420631578947	0.147539452631579	0.458483536842105	0.00470366315789474	0.00236589473684211	0.0335552	1.12e-05	0.000203789473684211
PD44887_27_branch_snp	0.0122378947368421	0.309058273684211	0.170105515789474	0.497979452631579	0.00160875789473684	0.00260446315789474	0.00612833684210526	4.03368421052632e-05	0.000236968421052632
PD44887_28_branch_snp	0.0401102315789474	0.276531536842105	0.153057178947368	0.478582989473684	0.0149684210526316	0.0231930947368421	0.0130378947368421	2.84631578947368e-05	0.00049018947368421
PD44887_29_branch_snp	0.0166154947368421	0.339040926315789	0.199348210526316	0.399277305263158	0.0119274947368421	0.00366315789473684	0.0299632842105263	1.57473684210526e-05	0.000148378947368421
PD44887_2_branch_snp	0.0242933867735471	0.283667967513975	0.179743908870372	0.483261174981542	0.00923235945575361	0.00920856449741589	0.00968210104419365	2.3626199767957e-06	0.000908174243223289
PD44887_30_branch_snp	0.0204144842105263	0.272248926315789	0.208879326315789	0.427680252631579	0.00250282105263158	0.00593456842105263	0.0621788631578947	6.56842105263158e-06	0.000154189473684211
PD44887_31_branch_snp	0.0238403368421053	0.337810105263158	0.132845557894737	0.477188631578947	0.0050848	0.00282450526315789	0.0203025684210526	1.47368421052632e-05	8.87578947368421e-05
PD44887_32_branch_snp	0.0341689263157895	0.308342147368421	0.179620294736842	0.433816252631579	0.0131133473684211	0.0137288421052632	0.0171370105263158	9.85263157894737e-06	6.33263157894737e-05
PD44887_3_branch_snp	0.0563145263157895	0.234791410526316	0.2023152	0.445847831578947	0.00382711578947368	0.0250896842105263	0.0317184842105263	8.08421052631579e-06	8.76631578947368e-05
PD44887_40_branch_snp	0.00995429362880886	0.298057479224377	0.284506232686981	0.377222299168975	0.0105775623268698	0.00206717451523546	0.0159182825484765	3.04709141274238e-05	0.00166620498614958
PD44887_47_branch_snp	0.0131201588877855	0.338658060244952	0.165159218801721	0.461091029460444	0.00691360476663357	0.00316716319099636	0.0104673949023502	2.05230056272757e-05	0.00140284673949024
PD44887_4_branch_snp	0.0610243368421053	0.257855915789474	0.100058357894737	0.547717894736842	0.00632058947368421	0.0212821052631579	0.00544909473684211	1.94526315789474e-05	0.000272252631578947
PD44887_51_branch_snp	0.00556751137102014	0.403798310591293	0.146381806367771	0.386584275503574	0.00819051332033788	0.00070227420402859	0.0486443144899285	1.03963612735543e-05	0.000120597790773229
PD44887_53_branch_snp	0.0435962947368421	0.476895157894737	0.143922863157895	0.251851705263158	0.0412275368421053	0.0038464	0.0346211368421053	1.46526315789474e-05	0.00402425263157895
PD44887_54_branch_snp	0.0122717703349282	0.537228708133971	0.107514385964912	0.249499202551834	0.0861318022328549	0.00126570972886762	0.00512535885167464	2.67942583732057e-05	0.000936267942583732
PD44887_55_branch_snp	0.00872707368421053	0.602282778947368	0.1350112	0.1939696	0.0500096	0.00156092631578947	0.00839368421052632	1.47368421052632e-05	3.04e-05
PD44887_56_branch_snp	0.0206062624916722	0.36928580946036	0.142439706862092	0.450782145236509	0.00777015323117921	0.00245969353764157	0.00641905396402398	3.99733510992672e-05	0.000197201865423051
PD44887_57_branch_snp	0.0120775578947368	0.665676884210526	0.143179284210526	0.160413305263158	0.00735696842105263	0.000811957894736842	0.00459031578947368	4.46315789473684e-06	0.00588926315789474
PD44887_5_branch_snp	0.00825928421052632	0.341899621052632	0.137749557894737	0.502961515789474	0.0020272	0.00111882105263158	0.00592757894736842	6.06315789473684e-06	5.03578947368421e-05
PD44887_63_branch_snp	0.00985505958990303	0.324978310755792	0.182862684136502	0.459278110889037	0.00598889629136131	0.00163357761492338	0.0152644903397735	9.77126360204308e-06	0.000129099119105781
PD44887_6_branch_snp	0.0190730947368421	0.299630736842105	0.158825768421053	0.503016757894737	0.00935915789473684	0.00626231578947368	0.00346071578947368	1.80210526315789e-05	0.000353431578947368
PD44887_7_branch_snp	0.00402829473684211	0.473714610526316	0.157154357894737	0.305731536842105	0.0243794526315789	0.000552421052631579	0.0333089684210526	6.65263157894737e-06	0.00112370526315789
PD44887_8_branch_snp	0.0149862736842105	0.410106694736842	0.183175663157895	0.375487578947368	0.0104271157894737	0.00177372631578947	0.00388715789473684	7.32631578947368e-06	0.000148463157894737
PD44887_9_branch_snp	0.00530854736842105	0.387874021052632	0.191048	0.401712673684211	0.00373886315789474	0.000973557894736842	0.00923873684210526	5.97894736842105e-06	9.96210526315789e-05
PD44888_10_branch_snp	0.00114117068371864	0.71080767338908	0.0165189375307427	0.116784554845057	0.0596915887850467	0.00666010821446139	0.0881342843089031	9.05066404328578e-05	0.000171175602557796
PD44888_11_branch_snp	0.00173226544622426	0.683282608695652	0.0108180778032037	0.195704805491991	0.0421578947368421	0.00509382151029748	0.0611247139588101	2.40274599542334e-05	6.17848970251716e-05
PD44888_12_branch_snp	0.00134510922229298	0.828171322572607	0.00834087322461862	0.0989965392175863	0.0284681192724051	0.00265311885711122	0.0319077493839807	0.000108087156344306	9.08109305351754e-06
PD44888_13_branch_snp	0.000120252631578947	0.812306694736842	0.0285408	0.145063578947368	0.00224437894736842	0.000929684210526316	0.0107911578947368	2.77894736842105e-06	6.73684210526316e-07
PD44888_14_branch_snp	0.000199915789473684	0.778383578947368	0.00761515789473684	0.197671242105263	0.00217987368421053	0.00206534736842105	0.0118738526315789	1.01052631578947e-05	9.26315789473684e-07
PD44888_15_branch_snp	0.000383073684210526	0.780698357894737	0.00283654736842105	0.197736589473684	0.00379848421052632	0.00411503157894737	0.0104224	8.42105263157895e-06	1.09473684210526e-06
PD44888_16_branch_snp	0.00144690526315789	0.714126736842105	0.00645002105263158	0.217686231578947	0.00134164210526316	0.0516467368421053	0.00729717894736842	3.70526315789474e-06	8.42105263157895e-07
